Species,Long,Lat ,MSB:Mamm:196608
C c merriami,-108.769373,33.801684,727029
C c merriami,-108.723102,33.409408,5438746
C c merriami,-108.586177,34.147662,3922494
C c merriami,-108.581773,32.81709,20855668
C c merriami,-108.550755,34.269014,34257750
C c merriami,-108.246771,34.086158,5936086
C c merriami,-108.165379,32.771871,37685056
C c merriami,-108.09939,32.696744,32860511
C c merriami,-108.057453,32.909879,26929345
C c merriami,-107.840453,34.75627,4040331
C c merriami,-107.515091,32.838605,30731279
C c merriami,-107.105581,34.191054,13997181
C c merriami,-106.992249,33.902297,37395495
C c merriami,-106.874712,34.051315,37395734
C c merriami,-106.787748,35.906274,5988279
C c merriami,-106.787462,35.844111,16578769
C c merriami,-106.730422,35.985935,5988253
C c merriami,-106.65313,35.994163,6451960
C c merriami,-106.601226,35.982178,5254569
C c merriami,-106.586789,35.865387,12393992
C c merriami,-106.526023,35.976584,8844819
C c merriami,-106.195198,33.006122,19127751
C c merriami,-105.991627,32.952014,18394264
C c merriami,-105.990795,32.911663,14429105
C c merriami,-105.988534,32.94895,19843605
C c merriami,-105.988254,32.855225,18706975
C c merriami,-105.982324,32.693522,39045654
C c merriami,-105.97539,32.871959,5059551
C c merriami,-105.974011,32.987414,36969578
C c merriami,-105.973908,32.923364,35155032
C c merriami,-105.973598,32.911118,19002235
C c merriami,-105.973193,32.812755,19843611
C c merriami,-105.967522,32.98798,3792726
C c merriami,-105.954307,32.845494,17452296
C c merriami,-105.952586,32.933452,36742524
C c merriami,-105.951328,32.806846,20975395
C c merriami,-105.943594,32.987305,35689268
C c merriami,-105.938226,32.895932,20098696
C c merriami,-105.937452,32.94172,5059570
C c merriami,-105.93533,32.898811,36729603
C c merriami,-105.935073,32.880342,19944162
C c merriami,-105.932508,32.831312,18706988
C c merriami,-105.929117,32.92892,20198293
C c merriami,-105.927128,32.878471,36730177
C c merriami,-105.912241,32.836973,15471360
C c merriami,-105.908,32.850924,14158691
C c merriami,-105.907057,32.938996,14061612
C c merriami,-105.895773,32.889934,18394310
C c merriami,-105.883025,32.807098,13150123
C c merriami,-105.874523,32.948263,19852356
C c merriami,-105.86632,32.924013,18706957
C c merriami,-105.865565,32.954163,18347289
C c merriami,-105.864084,32.830891,28942761
C c merriami,-105.859322,33.586228,35269397
C c merriami,-105.857155,32.954769,14168370
C c merriami,-105.856442,32.923259,18707007
C c merriami,-105.856005,32.856318,36731304
C c merriami,-105.855558,32.855463,36918137
C c merriami,-105.852491,32.821773,18347308
C c merriami,-105.851177,32.946469,3792702
C c merriami,-105.850862,32.902732,35344194
C c merriami,-105.850238,33.596363,9466881
C c merriami,-105.846608,32.962546,18394282
C c merriami,-105.840323,32.926434,31814354
C c merriami,-105.839954,32.871425,18394114
C c merriami,-105.837728,32.804925,35572509
C c merriami,-105.835004,32.991577,14094498
C c merriami,-105.833157,32.951914,30151407
C c merriami,-105.828863,32.919996,18343530
C c merriami,-105.819936,32.837666,35685202
C c merriami,-105.816065,33.112468,35140597
C c merriami,-105.815816,32.810363,19002262
C c merriami,-105.815344,32.60741,22080699
C c merriami,-105.814654,32.802751,18391082
C c merriami,-105.81384,32.837382,20988001
C c merriami,-105.807997,32.915449,16705638
C c merriami,-105.800277,32.848759,36969397
C c merriami,-105.798739,33.210846,35665386
C c merriami,-105.798591,32.849937,4159531
C c merriami,-105.798589,33.293943,13339842
C c merriami,-105.798478,32.87357,38710685
C c merriami,-105.798413,32.953437,34068131
C c merriami,-105.798143,36.679472,8449700
C c merriami,-105.798117,32.94621,15582926
C c merriami,-105.797186,32.831856,21665255
C c merriami,-105.796899,32.999783,33685687
C c merriami,-105.796164,32.962653,38710766
C c merriami,-105.794493,32.86018,21766743
C c merriami,-105.794223,32.917989,30345253
C c merriami,-105.793618,32.802305,5063843
C c merriami,-105.793385,32.659901,33993510
C c merriami,-105.793019,32.903778,25321533
C c merriami,-105.792936,32.935639,22710369
C c merriami,-105.79274,32.930701,13579813
C c merriami,-105.792735,32.826716,11011495
