Species,Long,Lat,ID
C. candadensis,-127.10238,54.632995,27610211
C. candadensis,-124.958908,48.896217,26468045
C. candadensis,-124.737834,49.051767,30220155
C. candadensis,-124.208078,49.193035,9876197
C. candadensis,-124.951001,49.213244,16252627
C. candadensis,-124.469978,49.305437,35675844
C. candadensis,-126.474724,49.796944,33974324
C. candadensis,-126.472512,49.797003,16981841
C. candadensis,-125.813945,49.854347,31155496
C. candadensis,-126.577649,49.880109,7804112
C. candadensis,-125.21958,49.963853,34141543
C. candadensis,-124.599615,49.964349,38543512
C. candadensis,-125.273335,50.033123,31363962
C. candadensis,-125.278279,50.034177,31522246
C. candadensis,-125.278279,50.034177,31522230
C. candadensis,-125.278279,50.034177,31522245
C. candadensis,-125.721917,50.19571,1696289
C. candadensis,-125.912358,50.309888,34268970
C. candadensis,-123.997915,49.656188,23001543
C. candadensis,-123.9,49.2,
C. candadensis,-123.9,49.2,
C. candadensis,-123.9,49.2,
C. candadensis,-123.796904,49.500213,19220921
C. candadensis,-123.781589,48.898675,25978333
C. candadensis,-123.780983,49.483215,14649197
C. candadensis,-123.327759,50.00373,19686362
C. candadensis,-123.145667,49.714038,9019567
C. candadensis,-123.144719,49.714731,5397044
C. candadensis,-123.144716,49.714761,5397030
C. candadensis,-123.144293,49.744767,9037981
C. candadensis,-122.630639,49.596456,17487793
C. candadensis,-124.396554,47.938796,34768956
C. candadensis,-124.396055,48.582201,39196576
C. candadensis,-124.385487,47.950355,5897147
C. candadensis,-124.249878,48.043201,4848913
C. candadensis,-124.24119,47.882006,25039971
C. candadensis,-124.223637,47.887623,25039878
C. candadensis,-124.201284,48.865618,20471271
C. candadensis,-124.200011,48.866702,36764842
C. candadensis,-124.198303,48.872463,28332586
C. candadensis,-124.189833,47.8045,35471520
C. candadensis,-124.188322,47.883469,17203638
C. candadensis,-124.176788,48.866767,21507285
C. candadensis,-124.169722,47.818889,18391605
C. candadensis,-124.168295,47.819916,34965956
C. candadensis,-124.103615,48.832779,30225120
C. candadensis,-124.042594,47.816978,20218954
C. candadensis,-124.017533,48.817488,38778507
C. candadensis,-124.017475,48.83042,4437213
C. candadensis,-124.002834,47.829035,22000588
C. candadensis,-123.993354,47.828963,6278534
C. candadensis,-123.978535,47.836685,37172192
C. candadensis,-123.974815,47.835631,38685
C. candadensis,-123.969383,47.842376,3769877
C. candadensis,-123.968205,47.843026,2686701
C. candadensis,-123.967697,47.843186,28414440
C. candadensis,-123.96359,48.809718,1903684
C. candadensis,-123.953762,48.806364,10138006
C. candadensis,-123.950416,47.853324,30662400
C. candadensis,-123.948828,48.040912,5760638
C. candadensis,-123.936939,48.801776,5405055
C. candadensis,-123.936525,48.995947,39584834
C. candadensis,-123.899345,47.868164,6253375
C. candadensis,-123.893716,47.878036,26590185
C. candadensis,-123.88784,48.5652,11137996
C. candadensis,-123.801771,47.911421,36678244
C. candadensis,-123.928117,47.858036,9376428
C. candadensis,-123.927732,47.85669,30655850
C. candadensis,-123.923176,47.861336,6944463
C. candadensis,-123.920288,47.852795,4019303
C. candadensis,-116.664582,47.348007,39437657
C. candadensis,-116.762182,47.570338,18804100
C. candadensis,-116.765942,47.597571,37457253
C. candadensis,-121.774483,47.52154,3282275
C. candadensis,-121.79857,47.500898,15700692
C. candadensis,-121.804476,47.518911,10481276
C. candadensis,-121.807978,47.517714,27824883
C. candadensis,-122.752,47.8934,30389791
C. candadensis,-122.902887,47.696142,12407560
C. candadensis,-122.99778,47.588357,12743264
C. candadensis,-123.326283,47.695923,20287663
C. candadensis,-123.395173,47.667311,20287654
C. candadensis,-124.039679,47.499344,1251017
C. candadensis,-123.943469,47.553755,25196675
C. candadensis,-124.185569,47.557588,2778866
C. candadensis,-124.033713,47.610619,2599785
C. candadensis,-124.003158,47.776038,3938334
C. candadensis,-123.936296,47.856341,9917809
C. candadensis,-123.947541,47.85637,9487650
C. candadensis,-123.938808,47.858004,6174525
C. candadensis,-123.938611,47.858056,6174504
C. candadensis,-123.940784,47.858376,2308645
C. candadensis,-123.937981,47.859461,33455185
C. candadensis,-123.935059,47.860321,34047186
C. candadensis,-123.934463,47.860405,22355537
C. candadensis,-123.934631,47.860525,22730977
C. candadensis,-123.939149,47.860542,33206387
C. candadensis,-123.934536,47.860657,1031352
C. candadensis,-123.934803,47.860871,19874567
C. candadensis,-123.934813,47.860957,38284544
C. candadensis,-123.933828,47.861227,31703828
C. candadensis,-123.934478,47.861605,16408187
C. candadensis,-123.936326,47.864225,34993641
C. candadensis,-123.933711,47.860903,3247097
C. candadensis,-123.932054,47.547277,20056170
C. candadensis,-123.825788,47.481539,2007369
C. candadensis,-123.798483,47.505946,16389798
C. candadensis,-123.742447,47.679027,1843167
C. candadensis,-123.695133,47.534863,2778927
C. candadensis,-123.687295,47.53118,1897716
C. candadensis,-123.663906,47.600729,29359460
C. candadensis,-123.604352,47.802107,10760660
C. candadensis,-123.604352,47.802107,5760619
C. candadensis,-123.56792,47.573439,20755207
C. candadensis,-123.47841,47.46436,21942711
C. candadensis,-122.900452,47.685783,20072502
C. candadensis,-122.899505,47.683997,26577556
C. candadensis,-122.894097,47.688672,29267951
C. candadensis,-124.118604,42.918367,34997585
C. candadensis,-124.127425,43.047181,10425821
C. candadensis,-124.128075,43.047889,5228001
C. candadensis,-124.139686,43.059637,37448403
C. candadensis,-124.180623,43.158613,38233873
C. candadensis,-123.99436,43.677841,12946805
C. candadensis,-124.004059,43.681777,8658279
C. candadensis,-124.002497,43.684171,7290073
C. candadensis,-123.961,43.684757,9637052
C. candadensis,-124.032821,43.690709,21180501
C. candadensis,-124.044706,43.692663,18137303
C. candadensis,-124.02895,43.693148,362509
C. candadensis,-124.044211,43.694595,6376988
C. candadensis,-124.039261,43.695137,25478831
C. candadensis,-124.041192,43.695178,20285118
C. candadensis,-124.039416,43.695202,32818532
C. candadensis,-124.039241,43.695227,32593376
C. candadensis,-124.038374,43.695343,20376103
C. candadensis,-124.038374,43.695343,16102385
C. candadensis,-124.03833,43.695347,3983602
C. candadensis,-124.039013,43.695498,16771009
C. candadensis,-124.034569,43.696337,29096551
C. candadensis,-124.013363,43.696575,3897067
C. candadensis,-124.081044,43.915017,19963015
C. candadensis,-123.96062,44.699166,2692379
C. candadensis,-123.912128,44.427963,7383945
C. candadensis,-123.788788,45.108128,21421218
C. candadensis,-123.854283,45.067017,5897087
C. candadensis,-123.784364,40.161827,34103034
C. candadensis,-124.064253,40.342793,395245
C. candadensis,-123.965392,40.342793,1665512
C. candadensis,-123.924863,40.342793,2580985
C. candadensis,-123.890967,40.356814,5150877
C. candadensis,-123.982944,40.358283,2088590
C. candadensis,-124.065685,40.385782,44460
C. candadensis,-123.869509,40.745006,1733020
C. candadensis,-123.869509,40.745006,1733016
C. candadensis,-123.869509,40.745006,3139772
C. candadensis,-123.818663,41.034161,22494037
C. candadensis,-123.876807,41.145673,13338914
C. candadensis,-123.874369,41.145725,44668
C. candadensis,-123.902552,41.16015,11671027
C. candadensis,-123.508788,41.477655,3059605
C. candadensis,-124.000725,41.605396,1220119
C. candadensis,-123.691458,41.672492,6842040
C. candadensis,-124.011535,41.682553,9595972
C. candadensis,-124.026837,41.786902,1220117
C. candadensis,-124.08185,41.796741,31631996
C. candadensis,-123.185089,41.847808,15370681
C. candadensis,-123.946218,42.072716,14817000
C. candadensis,-122.977005,42.43742,25248266
C. candadensis,-122.973329,42.433184,25259552
C. candadensis,-122.970712,42.439758,25241768
C. candadensis,-122.954107,42.466269,28159145
